name,likes,retweet,reply's,tweeted
Ashwin Krishna E Kdr, 156, 44,7,Here’s the another  #BehindTheScenes  from the sets of  #Khilona ! From :       #PratikSehajpal   #AayushiVerma   #songs   #entertainment   #hindisong    #bollywood    #tobc   #tobcentertainment
Ashwin Krishna E Kdr, 156, 44,7,"#MahimaChaudhry  recently revealed that she has been diagnosed with breast cancer. In the past, a number of   #Bollywood   actresses have shared about their fight against cancer including  #KirronKher ,  #SonaliBendre ,  #TahiraKashyap  and  #LisaRay  among others."
RVCJ Movies, 1295, 95,11,#KRK  is back at it! Trolls  #TheKapilSharmaShow  for flop   #Bollywood   films
@zoomtv,3,0,0,
The Telegraph, 6,1 Retweet,0,Ridhima Pandit [3012 x 4512]    #bollywood
RVCJ Movies, 1295, 95,11,"This was the PEAK of   #Bollywood   award shows!
Entertaining & absolutely hilarious "
ANMOL JAMWAL, 2045, 330,52,
The Telegraph, 7,1 Retweet,0,This scene   #ghajini   #aamirkhan   #asin    #bollywood    #moviescene   #rvcjmovies
ANMOL JAMWAL, 2045, 330,52,A Very Low-Key kinda Day......   with her quirky little post. #shehnaazgill   #beaurifuldiva   #sidnaaz    #bollywood    #southasian   #urbanasian
Urban Asian, 1471, 803,59,
The Telegraph, 7,1 Retweet,0,This scene   #ghajini   #aamirkhan   #asin    #bollywood    #moviescene   #rvcjmovies
ANMOL JAMWAL, 2045, 330,52,A Very Low-Key kinda Day......   with her quirky little post. #shehnaazgill   #beaurifuldiva   #sidnaaz    #bollywood    #southasian   #urbanasian
Urban Asian, 1471, 803,59,#SonakshiSinha  is all praise for  #ShahRukhKhan  as she calls him the most 'Chivalrous Man' in   #Bollywood  .
B4U Aflam TV,4,0,0,Phir hera pheri   #phirherapheri   #phirherapherimemes   #akshaykumar   #pareshrawal   #sunielshetty   #priyadarshan   #johnylever   #rajpalyadav    #bollywood    #rvcjmovies
RVCJ Movies, 1057, 116,9,The real gangster is here    #ShahRukhKhan𓀠   #SRK    #Bollywood    #Atlee   #Jawan   #JawanTeaser   #Jawaan   #Kingofbollywood
Boxofficebollywoodindustry, 475, 103,26,Ranveer singh for you  #ranveersingh    #bollywood    #bollywoodactor   #rvcjmovies  
The Telegraph, 8, 2,1,This scene   #ghajini   #aamirkhan   #asin    #bollywood    #moviescene   #rvcjmovies
Ashwin Krishna E Kdr, 156, 44,7,"This was the PEAK of   #Bollywood   award shows!
Entertaining & absolutely hilarious "
ANMOL JAMWAL, 2045, 330,52,#SonakshiSinha  is all praise for  #ShahRukhKhan  as she calls him the most 'Chivalrous Man' in   #Bollywood  .
Ashwin Krishna E Kdr, 156, 44,7,#Bollywood  :   Chaudhry who starred opposite   in  #Pardes  talks about being diagnosed with breast cancer and going through chemotherapy.    #MahimaChaudhry   #Pardes   #ShahRukhKhan   #entertainmentnews   #telegraphentertainment   #bollywoodfans
RVCJ Movies, 1295, 95,11,"This was the PEAK of   #Bollywood   award shows!
Entertaining & absolutely hilarious "
ANMOL JAMWAL, 2045, 330,52,
The Telegraph, 15, 3,1,This scene   #ghajini   #aamirkhan   #asin    #bollywood    #moviescene   #rvcjmovies
ANMOL JAMWAL, 2045, 330,52,A Very Low-Key kinda Day......   with her quirky little post. #shehnaazgill   #beaurifuldiva   #sidnaaz    #bollywood    #southasian   #urbanasian
Urban Asian, 1471, 803,59,22 Years of Josh! #Josh   #srk   #shahrukhkhan    #bollywood    #rvcjmovies  
The Telegraph, 17, 3,1,This scene   #ghajini   #aamirkhan   #asin    #bollywood    #moviescene   #rvcjmovies
RVCJ Movies, 1295, 95,11,"This was the PEAK of   #Bollywood   award shows!
Entertaining & absolutely hilarious "
ANMOL JAMWAL, 2045, 330,52,
ETC Bollywood, 13,5,0,"This new selfie by the stunning trio is sure to make your day!    #Lisa  of  #BLACKPINK ,  ,  #AnneHathaway     What's your fave selfie pose?    #Kpop    #Bollywood    #Hollywood   #PriyankaChopraJonas"
HT City, 4113, 1609,14,Here’s the another  #BehindTheScenes  from the sets of  #Khilona ! From :       #PratikSehajpal   #AayushiVerma   #songs   #entertainment   #hindisong    #bollywood    #tobc   #tobcentertainment
Adivi Sesh, 4536, 982,26,Straight outta Chick Flick....   looking mesmerizing. #hellyshah   #beautifuldiva    #bollywood    #southasian   #urbanasian
The Telegraph, 26, 4,1,22 Years of Josh! #Josh   #srk   #shahrukhkhan    #bollywood    #rvcjmovies  
RVCJ Movies, 1295, 95,11,A lovely chat with the big man   sir about the Magnificient  #Major  Journey Check this out!  #IndiaLovesMAJOR    #Bollywood   Interview with him coming tomorrow 
Adivi Sesh, 4541, 983,26,
ETC Bollywood,0,0,0,
ETC Bollywood,0,0,0,
Shah Rukh Khan,0,0,0,Actor         Spotted At The OTT Play Premium Launch  #ottnews   #OTTPlay   #ottplaypremium    #bollywood    #bollywoodnews   #pankajtripathi   #pratikgandhi   #RashamiDesai   #Rashamians   #NehaBhasin
IndiaToday, 703, 172,26,
Gulf News,5,0,0,
ETC Bollywood,0,0,0,
